id	author_id	created_at	retweet_count	like_count	location	author_follower_count	text
1460744168683180039	1348438605140660226	Tue Nov 16 22:58:43 +0000 2021	0	0	Thompson, Manitoba	59	@PC_Manitoba can you start the task force now instead of waiting next week, people who need surgery could end up passing away waiting of the long wait AVG 26 months now 130,000 on waiting list. #Manitoba #CBC #healthcare #Covid_19
1460743536081518592	60904108	Tue Nov 16 22:56:12 +0000 2021	0	2	Devon	2199	I had the AZ jab, twice, now had my third and it was Pfizer. No side effects other than my willy is three inches longer ad seems to get rather solid if I think about Diane Abbott.  Get your booster folks. the Mrs will be cooking you steak tomorrow.
1460743423103627266	244383310	Tue Nov 16 22:55:46 +0000 2021	0	0	Sylvan Lake, AB, Canada🇨🇦	2482	"@cathy_fillion @CBCAlerts In my mind - the unvaccinated people with Covid are staying home with ""the flu"" until they get sick enough that they're scared for their lives &amp; get a quick pass into ICU. I mean I could be wrong, but deniers gonna deny."
1460743305927397378	28684719	Tue Nov 16 22:55:18 +0000 2021	0	0	Edmonton, Alberta, Canada	771	"""Alzheimer’s vaccine step closer after new treatment reverses memory loss""  "
1460743301791993856	413250668	Tue Nov 16 22:55:17 +0000 2021	0	2	Saskatoon	2940	Five #Saskatchewan restaurants are served $14,000 tickets each for failing to screen for proof of #COVID19 vaccination or a negative test. A restaurant industry spokesman says these cases 'infuriate' those who are following the rules. #skpoli #COVID19SK  
1460743301502537731	27471594	Tue Nov 16 22:55:17 +0000 2021	1	0	Edmonton, Alberta	2243	Q: About COVID-19 being airborne. Hinshaw says they have an info sheet online about risk of airborne transmission and it's been available since last year. We've learned a lot about transmission and it's more of a spectrum of how it can spread.
1460742859242491908	1291139322003853313	Tue Nov 16 22:53:31 +0000 2021	4	23	Saskatoon, Saskatchewan	1071	Throughout this fall, the Sask Party govt has gone to great lengths, I'd even say heartless lengths, to talk about the economy and finances instead of covid.  Today @WotherspoonT questioned the govt on the financial cost.  The antics of the govt continued. ⬇️⬇️⬇️ #skpoli 
1460742769224335361	27471594	Tue Nov 16 22:53:10 +0000 2021	0	0	Edmonton, Alberta	2243	Q: About vaccines for 5-11. Hinshaw says cases for everyone have declined despite no vax eligibility for 5-11 group and that group is at lowest risk. There is societal benefit for having vaccine protection, but need to weigh whole health picture when it comes to restrictions etc.
1460742612923523073	1479785209	Tue Nov 16 22:52:32 +0000 2021	0	2	Calgary, Alberta	1365	So rural AB is having a fifth wave then. Without significant vaccine uptake in the near term, this seems a certainty. #covid19AB 
1460742340289581056	256733796	Tue Nov 16 22:51:27 +0000 2021	5	8	Calgary, AB	1647	"Hinshaw says there's ""a risk"" for a 5th covid wave especially with more time indoors for winter, notes AB #s have plateaued. #ABCOVID19 #yyc "
1460742091030470661	274705157	Tue Nov 16 22:50:28 +0000 2021	0	0	Calgary Alberta CANADA	332	Can’t wait for my COVID-19 booster! Check out additional groups that are now eligible… 
1460741795156013060	42486455	Tue Nov 16 22:49:17 +0000 2021	0	3	Saskatoon, Saskatchewan	65942	Saskatchewan fines five restaurants for COVID-19 violations 
1460741793021145092	14803951	Tue Nov 16 22:49:17 +0000 2021	0	1	Calgary, Alberta	200828	COVID-19 Update: 321 new cases, 13 deaths | Ottawa to make announcement on border measures | COVID drug had little impact on women  #yyc #COVID19AB
1460741529727737858	1432762883264311296	Tue Nov 16 22:48:14 +0000 2021	0	0	Edmonton, Alberta	12	@JenLeeCBC Jen, I would be very interested in learning why a bunch of European countries have banned Moderna for people under 30 and consequently why we would consider approving the same vaccine for kids under 11. I'm vaccinated and a concerned parent.
1460741412165611520	3362963218	Tue Nov 16 22:47:46 +0000 2021	0	2	Edmonton, Alberta	318	@Randelius @BadLegalTakes honestly, i do think there's a significant chunk of antivaxxers who were just anxious about covid and would not have gotten sucked in at any other time, and now they're looking for a way out without admitting they were suckers
1460741086570168324	26157329	Tue Nov 16 22:46:28 +0000 2021	0	6	Calgary, Alberta	4367	Hinshaw says if there is a business or any individuals looking to reduce the risk of spread of Covid the things that can mitigate that - such as a reduction in crowding, wearing masks, improve ventilation w/ certified professionals.
